State/UT,District,ds,Category,y
Andhra Pradesh,Vizianagaram,2019-07-01,DL,16.0
Andhra Pradesh,Vizianagaram,2019-07-01,ECT,85.56
Andhra Pradesh,Vizianagaram,2019-07-01,GP,70.24
Andhra Pradesh,Vizianagaram,2019-07-01,IF,68.63
Andhra Pradesh,Vizianagaram,2019-07-01,Outcome,59.31
Andhra Pradesh,Vizianagaram,2019-07-01,Overall,342.6
Andhra Pradesh,Vizianagaram,2019-07-01,SS,42.86
Andhra Pradesh,Vizianagaram,2020-07-01,DL,12.0
Andhra Pradesh,Vizianagaram,2020-07-01,ECT,91.11
Andhra Pradesh,Vizianagaram,2020-07-01,GP,90.48
Andhra Pradesh,Vizianagaram,2020-07-01,IF,76.47
Andhra Pradesh,Vizianagaram,2020-07-01,Outcome,62.41
Andhra Pradesh,Vizianagaram,2020-07-01,Overall,432.47
Andhra Pradesh,Vizianagaram,2020-07-01,SS,100.0
Andhra Pradesh,Vizianagaram,2021-07-01,DL,28.0
Andhra Pradesh,Vizianagaram,2021-07-01,ECT,92.22
Andhra Pradesh,Vizianagaram,2021-07-01,GP,80.95
Andhra Pradesh,Vizianagaram,2021-07-01,IF,82.35
Andhra Pradesh,Vizianagaram,2021-07-01,Outcome,51.03
Andhra Pradesh,Vizianagaram,2021-07-01,Overall,434.55
Andhra Pradesh,Vizianagaram,2021-07-01,SS,100.0
Andhra Pradesh,West Godavari,2018-07-01,DL,14.0
Andhra Pradesh,West Godavari,2018-07-01,ECT,73.33
Andhra Pradesh,West Godavari,2018-07-01,GP,69.05
Andhra Pradesh,West Godavari,2018-07-01,IF,54.9
Andhra Pradesh,West Godavari,2018-07-01,Outcome,55.52
Andhra Pradesh,West Godavari,2018-07-01,Overall,349.66
Andhra Pradesh,West Godavari,2018-07-01,SS,82.86
Andhra Pradesh,West Godavari,2019-07-01,DL,24.0
Andhra Pradesh,West Godavari,2019-07-01,ECT,85.56
Andhra Pradesh,West Godavari,2019-07-01,GP,71.43
Andhra Pradesh,West Godavari,2019-07-01,IF,62.75
Andhra Pradesh,West Godavari,2019-07-01,Outcome,61.38
Andhra Pradesh,West Godavari,2019-07-01,Overall,379.41
Andhra Pradesh,West Godavari,2019-07-01,SS,74.29
Andhra Pradesh,West Godavari,2020-07-01,DL,16.0
Andhra Pradesh,West Godavari,2020-07-01,ECT,86.67
Andhra Pradesh,West Godavari,2020-07-01,GP,42.86
Andhra Pradesh,West Godavari,2020-07-01,IF,70.59
